DatasetID,CV_percent,SEM,STRESS_ratio,Quality_flag,Recommended_weight,Inter_STRESS,N_observers
BADU-T,24.3,0.08591347391416553,0.7613168724279835,Good,0.8,24.3,8
BFD-P,38.5,0.12174768991648259,0.8337662337662338,Good,0.8,38.5,10
BIGC-S-SG,40.1,0.126807334172752,0.8354114713216957,Fair,0.5,40.1,10
BIGC-T1-SG,39.5,0.12490996757665097,0.8303797468354429,Good,0.8,39.5,10
BIGC-T2-G,44.8,0.14167003917554338,0.830357142857143,Fair,0.5,44.8,10
BIGC-T2-M,40.2,0.12712356193876884,0.8582089552238805,Fair,0.5,40.2,10
BIGC-T2-SG,42.3,0.13376434502512244,0.8463356973995272,Fair,0.5,42.3,10
Cui-NS,41.5,0.1251272079997719,0.8722891566265061,Fair,0.5,41.5,11
Cui-S-All,36.8,0.110956174804617,0.8559782608695653,Good,0.8,36.8,11
Fere,38.5,0.15717559182858729,,Fair,0.5,38.5,6
Guan-LCD,42.8,0.13534548385520662,0.869158878504673,Fair,0.5,42.8,10
HDR-Display,48.7,0.1257428593068675,0.8459958932238193,Fair,0.5,48.7,15
HDR-Surface,42.5,0.10973452814254347,0.8658823529411764,Fair,0.5,42.5,15
Leeds,25.3,0.07303480905248766,0.8893280632411067,Excellent,1.0,25.3,12
Liang,38.8,0.1226963732145331,0.8634020618556701,Good,0.8,38.8,10
Munsell,28.1,0.07510040897739126,0.8825622775800711,Excellent,1.0,28.1,14
OSA,31.8,0.10056042959335446,0.8333333333333333,Good,0.8,31.8,10
Parametric-NS,44.1,0.12730573435631248,0.8752834467120182,Fair,0.5,44.1,12
Parametric-S,37.5,0.10825317547305484,0.8746666666666666,Good,0.8,37.5,12
Pointer,33.2,0.11066666666666668,0.8584337349397589,Good,0.8,33.2,9
RIT-DuPont,35.2,0.1574191856159852,0.8068181818181818,Fair,0.5,35.2,5
Raymond-Display,38.5,0.1361180553784104,0.8519480519480519,Good,0.8,38.5,8
Raymond-Surface,35.2,0.12445079348883237,0.8380681818181818,Good,0.8,35.2,8
WCG,52.3,0.12327228218685479,0.8642447418738051,Poor,0.2,52.3,18
Wang,36.2,0.12798632739476512,0.8425414364640883,Good,0.8,36.2,8
Wanghan-LCD,40.5,0.11691342951089922,0.8839506172839505,Fair,0.5,40.5,12
Witt,27.8,0.08791131895268094,0.9064748201438848,Excellent,1.0,27.8,10
Zhu,40.2,0.12120756052026098,0.8656716417910446,Fair,0.5,40.2,11
