DatasetID,Ref_L,Ref_a,Ref_b,Sam_L,Sam_a,Sam_b,dV,dV_scaled,dE,Ratio,F,Is_Outlier
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.1498358873,-32.760582428,33.0500515053,1.02941,1.08992393902,1.22104301926,1.12030112886,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.4180657734,-31.9095727181,35.4374374286,1.11176,1.17711488954,0.82415227884,0.70014599778,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.4625880776,-34.1740166514,39.4461470294,1.13294,1.19953995733,1.264237588,1.05393536937,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,59.8706653453,-31.9668784996,37.2255904147,1.15294,1.22071565873,1.16795156454,0.956776097848,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.8169146772,-36.7105632937,37.4314366241,1.09176,1.15593918814,1.11281201873,0.962690797356,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.4892765922,-34.3822837951,40.0497816932,1.01176,1.07123638253,1.4679807803,1.37036120527,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.2125918436,-31.3590847857,33.1401253095,1.25882,1.33281982195,1.30907279689,0.982182869226,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,59.6531138563,-31.0685923917,34.5134896402,1.08118,1.1447372421,1.2710159703,1.11031241368,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,59.9429059654,-34.4241235791,33.6895106173,1.16353,1.23192819262,1.20309821263,0.976597678209,0.944478750441,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.0330139117,-35.0860775425,34.7032416644,0.916471,0.970345811986,0.968101248671,0.997686841859,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.3610844548,-20.6803922824,54.9092191831,1.14613,1.2135053324,1.45161695742,1.19621802942,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.5438673305,-19.4354964936,52.9180653779,1.15759,1.2256390093,1.6117399284,1.31502009659,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.2877224377,-18.0964831705,54.4165804615,1.08883,1.15283694788,0.906081406998,0.785957987087,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0298226643,-20.3396556095,60.8221402981,0.939828,0.995075854868,0.932241495964,0.936854704496,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0852361429,-21.0932594824,58.6103884016,1.13467,1.2013716555,0.974366263615,0.811044824602,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0944637743,-20.9605260007,56.1601886241,1.26074,1.33485268929,1.26543826273,0.947998436744,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.1221330707,-20.9834460352,55.3928958388,1.28367,1.35913063094,1.45843361331,1.07306360412,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.2693595778,-20.5609473866,55.5060645207,1.15759,1.2256390093,1.22993534968,1.00350538808,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.3152499438,-19.7847728533,54.6463318894,0.931232,0.985974538405,1.1482332249,1.16456681199,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0852361429,-19.2896859627,61.6802068823,0.825215,0.873725321628,1.20360199859,1.37755192485,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0760062428,-18.8287761597,62.0319296942,1.04585,1.10733036557,1.41324262733,1.27626106108,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.1405679508,-20.8208870784,59.2622079206,1.28367,1.35913063094,0.839433123997,0.617625050076,0.944478750441,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,58.9650699804,-19.2506790477,62.2030074361,1.31805,1.39553166165,1.37439333497,0.984852850517,0.944478750441,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,60.0779879042,-27.2946457136,41.1696037629,1.37883,1.45988461822,1.07560150574,0.736771586138,0.944478750441,False
