DatasetID,N,Mean_Ratio,Std_Ratio
WCG,285,1.21502256018,0.570499290473
Parametric-NS,518,1.1398788779,0.465356683587
Parametric-S,560,1.05698475685,0.248258916306
Wanghan-LCD,60,1.04315339691,0.226236940227
Cui-NS,95,0.998540000185,0.1981003863
Raymond-Display,1764,0.992272682571,0.260598968993
Leeds,307,0.991675481956,0.207714417139
BADU-T,238,0.98869615746,0.197774889554
OSA,128,0.981840499172,0.242384424646
Wang,100,0.96644913124,0.179806615258
Witt,418,0.966386869134,0.327286864212
BFD-P,2765,0.96419757767,0.301834198085
RIT-DuPont,312,0.962060866572,0.191355998445
Guan-LCD,292,0.952131687843,0.198876768205
Cui-S-All,1423,0.951680336949,0.315048957637
Raymond-Surface,125,0.941118195114,0.203649338874
Munsell,844,0.933917498909,0.297509152218
Fere,992,0.927194199494,0.397894148969
BIGC-T2-G,372,0.911080953996,0.456419425801
Liang,1176,0.896674106489,0.290062672754
Pointer,1307,0.887247688123,0.326296389256
Zhu,144,0.883192216806,0.27641286078
HDR-Surface,1216,0.877165663548,0.388875741828
BIGC-S-SG,446,0.872471579644,0.297391280707
BIGC-T2-M,388,0.860083713327,0.409516468676
HDR-Display,246,0.851767346366,0.325271658534
BIGC-T1-SG,886,0.802572573945,0.405678587643
BIGC-T2-SG,427,0.776727451245,0.387419250293
