DatasetID,Sigma,Mean_Ratio,Std_Ratio,N,N_above,Pct_above,N_below,Pct_below,N_outside,Pct_outside
ALL,1.0,0.9391352362056387,0.33913654740592897,18137,2817,15.53178585212549,2472,13.629596956497767,5289,29.161382808623255
WCG,1.0,0.9391352362056387,0.33913654740592897,416,250,60.09615384615385,34,8.173076923076923,284,68.26923076923077
Parametric-NS,1.0,0.9391352362056387,0.33913654740592897,560,229,40.892857142857146,35,6.25,264,47.142857142857146
BIGC-T2-G,1.0,0.9391352362056387,0.33913654740592897,379,84,22.16358839050132,98,25.857519788918207,182,48.02110817941953
Wanghan-LCD,1.0,0.9391352362056387,0.33913654740592897,60,12,20.0,0,0.0,12,20.0
Fere,1.0,0.9391352362056387,0.33913654740592897,1012,183,18.08300395256917,218,21.541501976284586,401,39.62450592885376
HDR-Surface,1.0,0.9391352362056387,0.33913654740592897,1260,224,17.77777777777778,318,25.238095238095237,542,43.01587301587302
BIGC-T2-M,1.0,0.9391352362056387,0.33913654740592897,399,69,17.293233082706767,110,27.56892230576441,179,44.86215538847118
Parametric-S,1.0,0.9391352362056387,0.33913654740592897,560,87,15.535714285714286,2,0.35714285714285715,89,15.892857142857142
Cui-S-All,1.0,0.9391352362056387,0.33913654740592897,1425,215,15.087719298245615,162,11.368421052631579,377,26.45614035087719
Witt,1.0,0.9391352362056387,0.33913654740592897,418,63,15.07177033492823,62,14.832535885167465,125,29.904306220095695
BIGC-T2-SG,1.0,0.9391352362056387,0.33913654740592897,446,67,15.022421524663677,161,36.09865470852018,228,51.12107623318386
OSA,1.0,0.9391352362056387,0.33913654740592897,128,19,14.84375,4,3.125,23,17.96875
BFD-P,1.0,0.9391352362056387,0.33913654740592897,2776,391,14.085014409221902,185,6.664265129682997,576,20.7492795389049
Pointer,1.0,0.9391352362056387,0.33913654740592897,1308,172,13.149847094801224,255,19.495412844036696,427,32.64525993883792
Munsell,1.0,0.9391352362056387,0.33913654740592897,844,105,12.440758293838863,138,16.350710900473935,243,28.791469194312796
BIGC-T1-SG,1.0,0.9391352362056387,0.33913654740592897,893,111,12.430011198208287,306,34.266517357222845,417,46.69652855543113
Raymond-Display,1.0,0.9391352362056387,0.33913654740592897,1766,216,12.231030577576444,45,2.548131370328426,261,14.77916194790487
Liang,1.0,0.9391352362056387,0.33913654740592897,1176,142,12.07482993197279,166,14.115646258503402,308,26.19047619047619
HDR-Display,1.0,0.9391352362056387,0.33913654740592897,252,29,11.507936507936508,67,26.58730158730159,96,38.095238095238095
BIGC-S-SG,1.0,0.9391352362056387,0.33913654740592897,446,44,9.865470852017937,78,17.48878923766816,122,27.3542600896861
BADU-T,1.0,0.9391352362056387,0.33913654740592897,238,20,8.403361344537815,2,0.8403361344537815,22,9.243697478991596
Zhu,1.0,0.9391352362056387,0.33913654740592897,144,11,7.638888888888889,3,2.0833333333333335,14,9.722222222222221
Leeds,1.0,0.9391352362056387,0.33913654740592897,307,23,7.49185667752443,8,2.6058631921824102,31,10.09771986970684
Guan-LCD,1.0,0.9391352362056387,0.33913654740592897,292,21,7.191780821917808,5,1.7123287671232876,26,8.904109589041095
Cui-NS,1.0,0.9391352362056387,0.33913654740592897,95,6,6.315789473684211,2,2.1052631578947367,8,8.421052631578947
RIT-DuPont,1.0,0.9391352362056387,0.33913654740592897,312,17,5.448717948717949,0,0.0,17,5.448717948717949
Raymond-Surface,1.0,0.9391352362056387,0.33913654740592897,125,6,4.8,5,4.0,11,8.8
Wang,1.0,0.9391352362056387,0.33913654740592897,100,1,1.0,3,3.0,4,4.0
