DatasetID,Ref_L,Ref_a,Ref_b,Sam_L,Sam_a,Sam_b,dV,dV_scaled,dE,Ratio,F,Is_Outlier
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.1498358873,-32.760582428,33.0500515053,1.02941,1.24554750205,1.75179518513,1.40644590611,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.4180657734,-31.9095727181,35.4374374286,1.11176,1.34518791432,1.12535541215,0.836578592608,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.4625880776,-34.1740166514,39.4461470294,1.13294,1.37081492017,1.64304240582,1.19858806732,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,59.8706653453,-31.9668784996,37.2255904147,1.15294,1.39501417027,1.17507955741,0.842342380786,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.8169146772,-36.7105632937,37.4314366241,1.09176,1.32098866422,1.55184695377,1.17476174913,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.4892765922,-34.3822837951,40.0497816932,1.01176,1.22419166384,1.95633677398,1.59806411999,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.2125918436,-31.3590847857,33.1401253095,1.25882,1.52312500027,2.03939550574,1.338954784,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,59.6531138563,-31.0685923917,34.5134896402,1.08118,1.30818726092,1.808920987,1.38276915013,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,59.9429059654,-34.4241235791,33.6895106173,1.16353,1.40782767319,1.41092763735,1.00220194859,0.826471891522,False
BFD-P,60.25735433,-34.0088390413,36.2753444696,60.0330139117,-35.0860775425,34.7032416644,0.916471,1.10889554672,1.02300808861,0.922546845498,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.3610844548,-20.6803922824,54.9092191831,1.14613,1.38677432561,1.42033487903,1.02420044329,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.5438673305,-19.4354964936,52.9180653779,1.15759,1.40064049591,2.18167881521,1.55762939996,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.2877224377,-18.0964831705,54.4165804615,1.08883,1.31744347408,1.63432179662,1.24052517529,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0298226643,-20.3396556095,60.8221402981,0.939828,1.13715664095,1.75064480391,1.53949310136,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0852361429,-21.0932594824,58.6103884016,1.13467,1.3729081553,1.24274145477,0.905189068888,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0944637743,-20.9605260007,56.1601886241,1.26074,1.52544812828,1.15316938629,0.755954506029,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.1221330707,-20.9834460352,55.3928958388,1.28367,1.55319256852,1.37204323052,0.883369685336,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.2693595778,-20.5609473866,55.5060645207,1.15759,1.40064049591,1.17074857363,0.835866574648,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.3152499438,-19.7847728533,54.6463318894,0.931232,1.12675580326,1.38009440336,1.22483895745,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0852361429,-19.2896859627,61.6802068823,0.825215,0.998479208386,1.94864157479,1.95160956625,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.0760062428,-18.8287761597,62.0319296942,1.04585,1.26543928563,2.07856499625,1.64256398538,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,59.1405679508,-20.8208870784,59.2622079206,1.28367,1.55319256852,1.30299659124,0.838915030662,0.826471891522,False
BFD-P,59.1774105985,-19.078686001,57.5567892317,58.9650699804,-19.2506790477,62.2030074361,1.31805,1.59479107943,2.17829270114,1.36587966238,0.826471891522,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,60.0779879042,-27.2946457136,41.1696037629,1.37883,1.66833260047,1.71309870584,1.02683284218,0.826471891522,False
BFD-P,60.1229087861,-25.401037834,38.3685116661,59.9519263843,-25.584419898,41.4099649347,1.24095,1.50150297031,1.52601286223,1.01632357205,0.826471891522,False
