DatasetID,N,Mean_Ratio,Std_Ratio
WCG,269,1.23819777336,0.652917848762
Parametric-NS,502,1.15445161223,0.512309743788
Parametric-S,555,1.08483011478,0.415257188143
Raymond-Surface,124,1.07604351101,0.373409122961
Raymond-Display,1762,1.03619413936,0.275625901424
OSA,128,1.02244274215,0.229303997126
Wanghan-LCD,60,1.02208805399,0.270499512745
Liang,1176,1.00113995861,0.268398529962
BADU-T,237,0.988659282925,0.296680186248
HDR-Surface,1252,0.985420735496,0.419066894028
Guan-LCD,292,0.971346521106,0.172019851507
Fere,981,0.957226735039,0.40510589617
Cui-NS,95,0.951607122384,0.319829525903
Pointer,1308,0.950828099751,0.289625705147
Munsell,844,0.928054456257,0.254703322248
HDR-Display,251,0.922432344472,0.346710328492
RIT-DuPont,312,0.921277750789,0.269737383819
Leeds,307,0.915483149516,0.387437144499
Cui-S-All,1423,0.913959369743,0.408607101106
BIGC-S-SG,445,0.911194225531,0.418911867728
Zhu,144,0.907118021981,0.23635834368
BFD-P,2748,0.89988119534,0.405156794414
BIGC-T2-G,376,0.89013199584,0.489339357904
Witt,418,0.871798702304,0.402151475438
Wang,100,0.864904198461,0.365523471377
BIGC-T2-M,394,0.828265910369,0.493079441492
BIGC-T2-SG,429,0.781649885024,0.428180300458
BIGC-T1-SG,886,0.757898563626,0.434582035049
